prompt,target_word,forbidden_word,bucket,p_sem,qwen_output,qwen_failed,synonym
"The scientist couldn't prove his hypothesis, but his failure was actually a blessing in...",disguise,disguise,A_Idioms,0.0,disguised,True,costume
"During the autumn, she loves taking walks to enjoy the crisp...",air,air,A_Idioms,0.022924423217773438,"During the autumn, she loves taking walks to enjoy the crisp breeze.",False,atmosphere
"In economic debates, when a certain policy is introduced to stimulate growth, it's often called a",catalyst,catalyst,A_Idioms,0.0,incentive,False,trigger
"After years of negotiation, the two countries finally signed the",treaty,treaty,A_Idioms,0.17652130126953125,"after years of negotiation, the two countries finally signed the agreement.",False,agreement
Don't count your chickens before they...,hatch,hatch,A_Idioms,0.6602973937988281,before they're born.,False,Emerge
Finding a wallet full of cash on the street was like finding a needle in a...,haystack,haystack,A_Idioms,0.0253753662109375,Finding a wallet full of cash on the street was like finding a needle in a vast sea of loose change and debris.,False,pile
"During the medical conference, the keynote speaker emphasized that prevention is the best...",cure,cure,A_Idioms,0.0,"During the medical conference, the keynote speaker emphasized that prevention is the best strategy for managing health issues.",False,heal
"In space exploration, NASA's latest mission will attempt to land on the",moon,moon,A_Idioms,0.2800941467285156,"In space exploration, NASA's latest mission will attempt to land on Mars.",False,lunar
"In software development, the term 'Hello World' is often used as the beginning of learning any new",language,language,A_Idioms,0.3293449282646179,programming environment.,False,speech
She finally got the promotion she deserved and is now on cloud...,nine,nine,A_Idioms,0.7241811752319336,She finally got the promotion she deserved and is now on cloud nine.,True,ennovigesimal
"In day-to-day life, when someone is extremely excited or happy, you might say they are on...",cloud,cloud,A_Idioms,0.06650781631469727,high,False,sky
"As the new CEO takes charge, he plans to steer the company in a new",direction,direction,A_Idioms,0.9756714105606079,"As the new CEO takes charge, he plans to steer the company toward a fresh focus.",False,orientation
"After many sleepless nights working on the project, finally submitting it felt like a weight off my...",shoulders,shoulders,A_Idioms,0.0018224716186523438,chest,False,pectors
"After a long and hard-fought campaign, he was elected mayor against all...",odds,odds,A_Idioms,0.15448760986328125,"After a long and hard-fought campaign, he was elected mayor against all expectations.",False,chances
"When it comes to dealing with global threats, the government needs to keep its eye on the...",ball,ball,A_Idioms,0.047469139099121094,bigger picture.,False,sphere
"When I passed by the bakery, I knew the aroma would tempt me because it was a piece of...",cake,cake,A_Idioms,0.00476837158203125,a sweet memory in every breath.,False,dessert
"In politics, they often say that power can corrupt, but absolute power corrupts...",absolutely,absolutely,A_Idioms,0.7325916290283203,in absolutely every instance.,True,entirely
"Despite their confidence, the team learned that talking big was easier than practicing what they...",preach,preach,A_Idioms,0.0,"Despite their confidence, the team learned that talking big was easier than living up to their words.",False,sermonize
"The detective assured the press that the criminal would be caught because the law always catches up with the perpetrator, as what goes around comes...",around,around,A_Idioms,0.005144596099853516,comes full circle.,False,about
"Despite the rain, the wedding went off without a...",hitch,hitch,A_Idioms,0.0,snag,False,bump
"After the long debate, the committee decided to let sleeping dogs",lie,lie,A_Idioms,0.7764322757720947,lie quiet,True,mislead
"In hypothetical discussions about time travel, people often question its potential as a double-edged...",sword,sword,A_Idioms,0.011736869812011719,"In hypothetical discussions about time travel, people often question its potential as a dual-edged tool.",False,blade
"Despite the challenges, Jane decided to break the glass",ceiling,ceiling,A_Idioms,0.3718090057373047,"Despite the challenges, Jane decided to break the glass ceiling.",True,顶篷
The new software update was a real blessing in...,disguise,disguise,A_Idioms,0.0,"the office, significantly enhancing productivity and streamlining workflows.",False,costume
The unexpected competition was a dark horse in the...,race,race,A_Idioms,0.012605667114257812,The unexpected competition was a dark horse in the tournament.,False,competition
"In the realm of health and fitness, many say that an apple a day keeps the",doctor,doctor,A_Idioms,0.9942713975906372,an apple a day keeps the doctor away,True,physician
A watched pot never...,boils,boils,A_Idioms,0.1358642578125,betrays time.,False,pus
"When asked about the stock market crash, the analyst shrugged it off, saying it was just a storm in a...",teacup,teacup,A_Idioms,0.0,分析师被问及股市崩盘时，耸了耸肩，说这不过是场大浪在一小片海面上翻腾。,False,Cup
"When it comes to sudden success, many believe it's often too good to be",true,true,A_Idioms,0.9970852136611938,real.,False,real
The new policy was a double-edged...,sword,sword,A_Idioms,0.0011892318725585938,The new policy was a double-edged blade.,False,blade
"In the world of technology, keeping up-to-date is the name of the...",game,game,A_Idioms,0.5719490051269531,challenge,False,Match
"As the small tech startup began developing innovative solutions that attracted significant investments, they realized they were sitting on a...",goldmine,goldmine,A_Idioms,0.0,valuable asset that could potentially disrupt the market.,False,Treasure
"His explanation was so clear, it was as plain as the nose on your...",face,face,A_Idioms,0.46797847747802734,"His explanation was so clear, it was as plain as the nose on your hand.",False,countenance
The grass is always greener on the other...,side,side,A_Idioms,0.35352134704589844,...side of the fence.,True,flank
"Discussing a complex experiment, scientists often say they have to burn the midnight...",oil,oil,A_Idioms,0.010511398315429688,Scientists often say they have to burn the midnight candle.,False,petroleum
"The final piece of the puzzle was found, and everything suddenly clicked into...",place,place,A_Idioms,0.26647377014160156,order,False,location
"He promised to help with her project, but when the time came, he was nowhere to be found, leaving her high and...",dry,dry,A_Idioms,0.0,"He promised to help with her project, but when the time came, he was nowhere to be found, leaving her high and mighty.",False,arid
"Even in the face of adversity, she remained cool, calm, and collected, showing grace under...",pressure,pressure,A_Idioms,0.13500595092773438,constraint,False,stress
"Facing numerous challenges, the politician ended up opening a can of...",worms,worms,A_Idioms,0.0019969940185546875,"Facing numerous challenges, the politician ended up opening a can of social unrest.",False,Earthworms
It was a bitter pill to...,swallow,swallow,A_Idioms,0.0,It was a bitter pill to accept.,False,inhale
"The new environmental policy aims to cut emissions drastically, but critics say it's just a drop in the bucket compared to what's needed to combat climate...",change,change,A_Idioms,0.0,"The new environmental policy aims to reduce emissions significantly, but critics argue it represents merely a minor adjustment rather than the substantial shift required to address climate impacts.",False,alter
"In financial investments, it's important not to put all your eggs in one...",basket,basket,A_Idioms,0.015306472778320312,"In financial investments, it's important not to put all your eggs in one container.",False,Crate
"After working so hard, getting that scholarship was the icing on the...",cake,cake,A_Idioms,0.0094757080078125,"After working so hard, getting that scholarship was the cherry on top.",False,dessert
"When the awkward silence hung in the air, someone joked to break the ice, suggesting that to keep things lighthearted, sometimes you just need to call a spade a...",spade,spade,A_Idioms,0.0,call a shovel,False,Shovel
"Whenever they argued, it was clear that both were just beating around the...",bush,bush,A_Idioms,0.000789642333984375,tree.,False,shrub
John's enthusiasm for his new project was a breath of fresh...,air,air,A_Idioms,0.09113025665283203,John's enthusiasm for his new project was a surge of renewed energy.,False,atmosphere
"Despite the long wait, the new restaurant in town turned out to be worth its weight in...",gold,gold,A_Idioms,0.008285999298095703,silver,False,precious
The discussion reached a standstill until the moderator finally broke the...,ice,ice,A_Idioms,0.003986358642578125,silence.,False,frost
