prompt,target_word,forbidden_word,bucket,p_sem,qwen_output,qwen_failed
"The scientist couldn't prove his hypothesis, but his failure was actually a blessing in...",disguise,disguise,A_Idioms,0.0,disguised,True
"During the autumn, she loves taking walks to enjoy the crisp...",air,air,A_Idioms,0.024641098571009934,"During the autumn, she loves taking walks to enjoy the crisp breeze.",False
"In economic debates, when a certain policy is introduced to stimulate growth, it's often called a",catalyst,catalyst,A_Idioms,0.0,injection measure,False
"After years of negotiation, the two countries finally signed the",treaty,treaty,A_Idioms,0.16392570547759533,"after years of negotiation, the two countries finally signed the agreement.",False
Don't count your chickens before they...,hatch,hatch,A_Idioms,0.6883773040026426,before they're born.,False
Finding a wallet full of cash on the street was like finding a needle in a...,haystack,haystack,A_Idioms,0.04185285046696663,Finding a wallet full of cash on the street was like finding a needle in a haystack.,True
"During the medical conference, the keynote speaker emphasized that prevention is the best...",cure,cure,A_Idioms,0.0,"During the medical conference, the keynote speaker emphasized that prevention is the best approach to managing chronic diseases.",False
"In space exploration, NASA's latest mission will attempt to land on the",moon,moon,A_Idioms,0.256920010317117,"In space exploration, NASA's latest mission will attempt to land on the lunar surface.",False
"In software development, the term 'Hello World' is often used as the beginning of learning any new",language,language,A_Idioms,0.4004417397281941,programming environment.,False
She finally got the promotion she deserved and is now on cloud...,nine,nine,A_Idioms,0.6084459070116282,She finally got the promotion she deserved and is now on cloud nine.,True
"In day-to-day life, when someone is extremely excited or happy, you might say they are on...",cloud,cloud,A_Idioms,0.15771449194289744,high spirits.,False
"As the new CEO takes charge, he plans to steer the company in a new",direction,direction,A_Idioms,0.975949405479696,"As the new CEO takes charge, he plans to steer the company toward a fresh focus.",False
"After many sleepless nights working on the project, finally submitting it felt like a weight off my...",shoulders,shoulders,A_Idioms,0.005247785244137049,mind,False
"After a long and hard-fought campaign, he was elected mayor against all...",odds,odds,A_Idioms,0.36288743233308196,"After a long and hard-fought campaign, he was elected mayor against all expectations.",False
"When it comes to dealing with global threats, the government needs to keep its eye on the...",ball,ball,A_Idioms,0.17666488490067422,"When it comes to dealing with global threats, the government needs to keep its eye on the ball.",True
"When I passed by the bakery, I knew the aroma would tempt me because it was a piece of...",cake,cake,A_Idioms,0.0011061840923503041,a sweet memory.,False
"In politics, they often say that power can corrupt, but absolute power corrupts...",absolutely,absolutely,A_Idioms,0.8619465677184053,"In politics, they often say that power can corrupt, but absolute power corrupts absolutely.",True
"Despite their confidence, the team learned that talking big was easier than practicing what they...",preach,preach,A_Idioms,0.0,"Despite their confidence, the team learned that talking big was easier than practicing it consistently.",False
"The detective assured the press that the criminal would be caught because the law always catches up with the perpetrator, as what goes around comes...",around,around,A_Idioms,0.007621439814101905,"Constraint: Do not use the phrase 'goes around'.

The detective assured the press that the criminal would be caught because the law always catches up with the perpetrator, as what comes back around.",True
"Despite the rain, the wedding went off without a...",hitch,hitch,A_Idioms,0.0003306802245788276,"Despite the rain, the wedding went off without a glitch.",False
"After the long debate, the committee decided to let sleeping dogs",lie,lie,A_Idioms,0.8253202453197446,"After the long debate, the committee decided to let sleeping dogs remain quiet.",False
"In hypothetical discussions about time travel, people often question its potential as a double-edged...",sword,sword,A_Idioms,0.013453176070470363,"In hypothetical discussions about time travel, people often question its potential as a double-edged tool.",False
"Despite the challenges, Jane decided to break the glass",ceiling,ceiling,A_Idioms,0.40814448380842805,"Despite the challenges, Jane decided to break the glass ceiling metaphorically by advancing into a leadership role.",True
The new software update was a real blessing in...,disguise,disguise,A_Idioms,0.0,The new software update was a real blessing in improving our workflow efficiency significantly.,False
The unexpected competition was a dark horse in the...,race,race,A_Idioms,0.0228518967051059,The unexpected competition was a dark horse in the project timeline.,False
"In the realm of health and fitness, many say that an apple a day keeps the",doctor,doctor,A_Idioms,0.9914325072513748,"In the realm of health and fitness, many say that an apple a day keeps the doctor away.",True
A watched pot never...,boils,boils,A_Idioms,0.025402748957276344,A watched pot never seems to pass the time faster.,False
"When asked about the stock market crash, the analyst shrugged it off, saying it was just a storm in a...",teacup,teacup,A_Idioms,0.0,storm in a box of cereal.,False
"When it comes to sudden success, many believe it's often too good to be",true,true,A_Idioms,0.9957424424960664,"When it comes to sudden success, many believe it's often too good to be real.",False
The new policy was a double-edged...,sword,sword,A_Idioms,0.0,"The new policy was a double-edged tool, benefiting some while harming others.",False
"In the world of technology, keeping up-to-date is the name of the...",game,game,A_Idioms,0.5369227900519036,"In the world of technology, keeping up-to-date is the name of the challenge.",False
"As the small tech startup began developing innovative solutions that attracted significant investments, they realized they were sitting on a...",goldmine,goldmine,A_Idioms,0.0,valuable asset that could potentially disrupt their industry.,False
"His explanation was so clear, it was as plain as the nose on your...",face,face,A_Idioms,0.7555167070313473,"His explanation was so clear, it was as plain as the nose on your hand.",False
The grass is always greener on the other...,side,side,A_Idioms,0.4126224685460329,yard.,False
